date,start_time,end_time,event_title,recurring
2026-09-29,11:00,12:00,Customer Call — Strategic Account,No
2026-09-29,12:00,13:00,Pipeline Review — Commercial,Yes
2026-09-29,13:00,14:00,Deal Desk,Yes
2026-09-29,14:30,15:30,1:1 — Sales Enablement Lead,Yes
2026-09-29,16:00,17:00,Product + Sales Sync,Yes
2026-09-30,08:30,09:15,Territory / Coverage Review,No
2026-09-30,09:30,10:30,1:1 — Strategic Accounts VP,Yes
2026-09-30,10:30,11:30,Customer Escalation / Deal Support,No
2026-09-30,11:30,12:30,Marketing + Sales Pipeline,Yes
2026-09-30,12:30,13:00,Lunch,No
2026-09-30,13:00,14:00,Hiring / Talent Review,No
2026-09-30,14:00,15:00,1:1 — Channel Sales VP,Yes
2026-09-30,15:15,16:00,Sales Ops Working Session,No
2026-10-01,08:00,09:00,Regional Business Review,No
2026-10-01,09:00,10:00,1:1 — SMB Sales VP,Yes
2026-10-01,10:00,11:00,Finance + Sales Forecast,Yes
2026-10-01,11:00,12:00,Customer Call — Renewal / Expansion,No
2026-10-01,12:30,13:30,Sales Enablement,Yes
2026-10-01,13:30,14:30,Cross-Functional Operating Review,Yes
2026-10-01,15:00,16:00,Deal Coaching,No
2026-10-02,08:00,08:45,Weekly Forecast Close,Yes
2026-10-02,09:00,10:30,Strategy & Planning,Yes
2026-10-02,11:00,12:00,1:1 — Chief Revenue Officer,Yes
2026-10-02,13:00,14:00,Sales Leadership Follow-up,Yes
2026-10-02,16:00,16:30,Weekly Wrap-Up,Yes
2026-10-05,08:00,08:45,Weekly Planning & Priorities,Yes
2026-10-05,09:00,10:00,Sales Leadership Team,Yes
2026-10-05,10:00,11:00,1:1 — East Region VP,Yes
2026-10-05,11:00,12:00,Pipeline Review — Enterprise,Yes
2026-10-05,12:00,12:30,Lunch,Yes
2026-10-05,12:30,13:30,Customer / Deal Strategy,No
2026-10-05,14:00,15:00,1:1 — West Region VP,Yes
2026-10-05,15:00,16:00,Revenue Operations Sync,Yes
2026-10-06,08:00,09:00,Forecast Prep,Yes
2026-10-06,09:00,10:00,Executive Revenue Meeting,Yes
2026-10-06,10:00,11:00,1:1 — Central Region VP,Yes
2026-10-06,11:00,12:00,Customer Call — Strategic Account,No
2026-10-06,12:00,13:00,Pipeline Review — Commercial,Yes
2026-10-06,13:00,14:00,Deal Desk,Yes
2026-10-06,14:30,15:30,1:1 — Sales Enablement Lead,Yes
2026-10-06,16:00,17:00,Product + Sales Sync,Yes
2026-10-07,08:30,09:15,Territory / Coverage Review,No
2026-10-07,09:30,10:30,1:1 — Strategic Accounts VP,Yes
2026-10-07,10:30,11:30,Customer Escalation / Deal Support,No
2026-10-07,11:30,12:30,Marketing + Sales Pipeline,Yes
2026-10-07,13:00,14:00,Hiring / Talent Review,No
2026-10-07,14:00,15:00,1:1 — Channel Sales VP,Yes
2026-10-07,15:15,16:00,Sales Ops Working Session,No
2026-10-08,08:00,09:00,Quarterly Deal Strategy,No
2026-10-08,09:00,10:00,1:1 — SMB Sales VP,Yes
2026-10-08,10:00,11:00,Finance + Sales Forecast,Yes
2026-10-08,11:00,12:00,Customer Call — Renewal / Expansion,No
2026-10-08,12:30,13:30,Sales Enablement,Yes
2026-10-08,13:30,14:30,Cross-Functional Operating Review,Yes
2026-10-08,15:00,16:00,Deal Coaching,No
2026-10-08,16:00,17:00,Internal Project Meeting,No
2026-10-09,08:00,08:45,Weekly Forecast Close,Yes
2026-10-09,09:00,10:30,Strategy & Planning,Yes
2026-10-09,11:00,12:00,1:1 — Chief Revenue Officer,Yes
2026-10-09,13:00,14:00,Sales Leadership Follow-up,Yes
2026-10-09,14:30,15:30,Customer / Executive Sponsor Call,No
2026-10-09,16:00,16:30,Weekly Wrap-Up,Yes
2026-10-12,08:00,08:45,Weekly Planning & Priorities,Yes
2026-10-12,09:00,10:00,Sales Leadership Team,Yes
2026-10-12,10:00,11:00,1:1 — East Region VP,Yes
2026-10-12,11:00,12:00,Pipeline Review — Enterprise,Yes
2026-10-12,12:00,12:30,Lunch,No
2026-10-12,12:30,13:30,Customer / Deal Strategy,No
2026-10-12,14:00,15:00,1:1 — West Region VP,Yes
2026-10-12,15:00,16:00,Revenue Operations Sync,Yes
2026-10-12,16:15,17:00,Cross-Functional Follow-up,No
2026-10-13,08:00,09:00,Forecast Prep,Yes
2026-10-13,09:00,10:00,Executive Revenue Meeting,Yes
2026-10-13,10:00,11:00,1:1 — Central Region VP,Yes
2026-10-13,11:00,12:00,Customer Call — Strategic Account,No
2026-10-13,12:00,13:00,Pipeline Review — Commercial,Yes
2026-10-13,13:00,14:00,Deal Desk,Yes
2026-10-13,14:30,15:30,1:1 — Sales Enablement Lead,Yes
2026-10-13,16:00,17:00,Product + Sales Sync,Yes
2026-10-14,08:30,09:15,Territory / Coverage Review,No
2026-10-14,09:30,10:30,1:1 — Strategic Accounts VP,Yes
2026-10-14,10:30,11:30,Customer Escalation / Deal Support,No
2026-10-14,11:30,12:30,Marketing + Sales Pipeline,Yes
2026-10-14,12:30,13:00,Lunch,No
2026-10-14,13:00,14:00,Hiring / Talent Review,No
2026-10-14,14:00,15:00,1:1 — Channel Sales VP,Yes
2026-10-14,15:15,16:00,Sales Ops Working Session,No
2026-10-15,08:00,09:00,Regional Business Review,No
2026-10-15,09:00,10:00,1:1 — SMB Sales VP,Yes
2026-10-15,10:00,11:00,Finance + Sales Forecast,Yes
2026-10-15,11:00,12:00,Customer Call — Renewal / Expansion,No
2026-10-15,12:30,13:30,Sales Enablement,Yes
2026-10-15,13:30,14:30,Cross-Functional Operating Review,Yes
2026-10-15,15:00,16:00,Deal Coaching,No
2026-10-15,16:00,17:00,Internal Project Meeting,No
2026-10-16,08:00,08:45,Weekly Forecast Close,Yes
2026-10-16,09:00,10:30,Strategy & Planning,Yes
2026-10-16,11:00,12:00,1:1 — Chief Revenue Officer,Yes
2026-10-16,13:00,14:00,Sales Leadership Follow-up,Yes
2026-10-16,16:00,16:30,Weekly Wrap-Up,Yes
