date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-09,10:45,11:30,Pipeline Review,No,pipeline,Account Team;Sales Ops,yes,confirmed
2026-01-09,11:30,12:30,Team Coaching,No,team,Enablement Lead;West Sales Director,yes,confirmed
2026-01-09,13:00,13:30,Learning Block,No,learning,,yes,confirmed
2026-01-09,14:00,14:30,Customer / Account Review,No,customer,Customer;Account Team,no,confirmed
2026-01-09,14:40,15:25,Leadership Sync,No,leadership,CFO;Marketing VP,no,confirmed
2026-01-09,15:25,16:25,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-09,16:25,17:25,Forecast Review,No,forecast,Regional VP;Enablement Lead;Revenue Ops,yes,confirmed
2026-01-12,08:00,08:30,Conflicting Commitment,No,team,CFO;Sales Ops,yes,tentative
2026-01-12,08:00,08:45,Team Coaching,No,team,Regional VP,yes,confirmed
2026-01-12,08:45,09:30,Team Coaching,No,team,Sales Rep;Regional VP,yes,confirmed
2026-01-12,09:45,10:45,Pipeline Review,No,pipeline,Revenue Ops;Enablement Lead,yes,confirmed
2026-01-12,11:00,11:30,Pipeline Review,No,pipeline,East Sales Director;Enablement Lead,yes,confirmed
2026-01-12,11:45,12:45,Customer / Account Review,No,customer,Customer;Enablement Lead,yes,confirmed
2026-01-12,12:45,13:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-12,14:00,15:00,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-12,15:15,15:45,Pipeline Review,No,pipeline,Revenue Ops;Enablement Lead;East Sales Director,yes,confirmed
2026-01-13,10:30,11:00,Conflicting Commitment,No,leadership,Enablement Lead;Product VP,yes,confirmed
2026-01-13,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-13,09:00,09:45,Forecast Review,No,forecast,East Sales Director;West Sales Director;Revenue Ops,no,confirmed
2026-01-13,09:45,10:30,Team Coaching,No,team,East Sales Director;West Sales Director;Revenue Ops,yes,confirmed
2026-01-13,10:30,11:30,Team Coaching,No,team,Enablement Lead;Sales Ops,no,cancelled
2026-01-13,11:30,12:15,Pipeline Review,No,pipeline,West Sales Director;Regional VP;Sales Ops,no,confirmed
2026-01-13,12:15,13:15,Pipeline Review,No,pipeline,Sales Rep;Enablement Lead,yes,declined
2026-01-13,13:15,13:45,Forecast Review,No,forecast,Sales Ops;Enablement Lead,yes,confirmed
2026-01-13,13:45,14:15,Forecast Review,No,forecast,Regional VP;Sales Rep;Enablement Lead,yes,confirmed
2026-01-14,08:00,09:00,Conflicting Commitment,No,customer,CFO;Product VP,yes,tentative
2026-01-14,09:40,10:40,Conflicting Commitment,No,leadership,Sales Ops;East Sales Director,yes,confirmed
2026-01-14,09:55,10:40,Conflicting Commitment,No,team,CRO;Account Team,yes,tentative
2026-01-14,08:00,08:45,Team Coaching,No,team,Regional VP;East Sales Director;Sales Ops,yes,confirmed
2026-01-14,08:45,09:15,Internal Working Session,No,internal,Marketing VP,yes,confirmed
2026-01-14,09:25,10:10,Customer / Account Review,No,customer,Customer;East Sales Director,yes,declined
2026-01-14,10:10,10:40,Team Coaching,No,team,Revenue Ops;Regional VP,yes,confirmed
2026-01-14,10:40,11:25,Internal Working Session,No,internal,Finance;Sales Rep;Regional VP,yes,confirmed
2026-01-14,11:25,12:25,Pipeline Review,No,pipeline,Account Team;Regional VP;Sales Rep,yes,confirmed
2026-01-14,12:35,13:35,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-14,13:45,14:45,Forecast Review,No,forecast,Enablement Lead,no,confirmed
2026-01-14,14:45,15:30,Forecast Review,No,forecast,Sales Rep;Enablement Lead;Regional VP,yes,confirmed
2026-01-15,11:55,12:25,Conflicting Commitment,No,customer,Legal;West Sales Director,yes,tentative
2026-01-15,08:30,09:30,Conflicting Commitment,No,team,Enablement Lead;Revenue Ops,yes,confirmed
2026-01-15,11:10,11:40,Conflicting Commitment,No,customer,West Sales Director;Enablement Lead,yes,tentative
2026-01-15,08:00,09:00,Pipeline Review,No,pipeline,Sales Rep;Sales Ops,no,cancelled
2026-01-15,09:00,09:45,Internal Working Session,No,internal,Account Team;CRO,yes,confirmed
2026-01-15,09:45,10:15,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-15,10:25,10:55,Internal Working Session,No,internal,Marketing VP,yes,confirmed
2026-01-15,11:10,11:40,Internal Working Session,No,internal,East Sales Director;Enablement Lead,yes,confirmed
2026-01-15,11:40,12:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-15,12:40,13:25,Internal Working Session,No,internal,Revenue Ops,no,confirmed
2026-01-15,13:55,14:25,Learning Block,No,learning,,yes,confirmed
2026-01-15,14:55,15:55,Learning Block,No,learning,,no,confirmed
2026-01-15,15:55,16:55,Customer / Account Review,No,customer,Customer;Enablement Lead,yes,confirmed
2026-01-16,10:30,11:15,Conflicting Commitment,No,leadership,Finance;Legal,yes,tentative
2026-01-16,08:00,08:30,Forecast Review,No,forecast,Sales Ops;Regional VP;Account Team,yes,confirmed
2026-01-16,09:00,09:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-16,09:45,10:15,Pipeline Review,No,pipeline,Enablement Lead,yes,confirmed
2026-01-16,10:15,11:15,Team Coaching,No,team,West Sales Director;Revenue Ops;Sales Rep,yes,confirmed
2026-01-16,11:45,12:30,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-16,13:00,14:00,Internal Working Session,No,internal,Sales Rep;West Sales Director,yes,confirmed
2026-01-16,14:00,15:00,Leadership Sync,No,leadership,CRO;CFO,yes,confirmed
2026-01-19,12:40,13:40,Conflicting Commitment,No,leadership,East Sales Director;Account Team,yes,tentative
2026-01-19,08:00,08:30,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-19,09:00,10:00,Customer / Account Review,No,customer,Customer;Sales Ops;East Sales Director,yes,confirmed
2026-01-19,10:15,11:15,Customer / Account Review,No,customer,Customer;Regional VP;Revenue Ops,yes,confirmed
2026-01-19,11:25,12:10,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-19,12:10,13:10,Leadership Sync,No,leadership,Marketing VP;CFO,yes,confirmed
2026-01-19,13:20,14:20,Pipeline Review,No,pipeline,Sales Rep;East Sales Director,yes,confirmed
2026-01-19,14:30,15:30,Pipeline Review,No,pipeline,Sales Rep;Sales Ops;East Sales Director,yes,confirmed
2026-01-19,15:30,16:30,Internal Working Session,No,internal,Enablement Lead;Marketing VP,yes,confirmed
2026-01-20,11:05,11:35,Conflicting Commitment,No,team,Regional VP;CRO,yes,confirmed
2026-01-20,08:00,08:45,Team Coaching,No,team,Revenue Ops;East Sales Director;Account Team,no,confirmed
2026-01-20,08:55,09:40,Internal Working Session,No,internal,Sales Ops;Marketing VP;Product VP,yes,confirmed
2026-01-20,09:50,10:20,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-20,10:35,11:35,Leadership Sync,No,leadership,Legal;Marketing VP,yes,confirmed
2026-01-20,11:35,12:35,Team Coaching,No,team,Regional VP;Revenue Ops;Enablement Lead,yes,confirmed
2026-01-20,12:50,13:20,Pipeline Review,No,pipeline,Enablement Lead;East Sales Director;Sales Rep,yes,confirmed
2026-01-20,13:50,14:35,Internal Working Session,No,internal,Revenue Ops;East Sales Director,yes,confirmed
2026-01-20,14:45,15:45,Learning Block,No,learning,,yes,confirmed
2026-01-20,15:45,16:45,Learning Block,No,learning,,yes,confirmed
2026-01-21,12:10,13:10,Conflicting Commitment,No,team,West Sales Director;Sales Rep,yes,confirmed
2026-01-21,09:55,10:25,Conflicting Commitment,No,leadership,Enablement Lead;West Sales Director,yes,tentative
2026-01-21,08:00,09:00,Customer / Account Review,No,customer,Customer;West Sales Director;Sales Rep,yes,confirmed
2026-01-21,09:10,09:40,Leadership Sync,No,leadership,Legal;Marketing VP,yes,confirmed
2026-01-21,09:40,10:10,Leadership Sync,No,leadership,Finance;CFO,yes,confirmed
2026-01-21,10:25,11:10,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-21,11:10,11:55,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-21,11:55,12:40,Team Coaching,No,team,West Sales Director;Enablement Lead,yes,confirmed
2026-01-21,12:40,13:40,Pipeline Review,No,pipeline,West Sales Director;East Sales Director,yes,confirmed
2026-01-22,08:30,09:15,Conflicting Commitment,No,leadership,Finance;Product VP,yes,confirmed
2026-01-22,13:45,14:15,Conflicting Commitment,No,customer,Legal;Revenue Ops,yes,confirmed
2026-01-22,08:00,08:45,Internal Working Session,No,internal,East Sales Director,yes,confirmed
2026-01-22,08:55,09:40,Forecast Review,No,forecast,Regional VP,no,declined
2026-01-22,09:50,10:50,Learning Block,No,learning,,yes,confirmed
2026-01-22,10:50,11:35,Leadership Sync,No,leadership,Legal;Finance,yes,confirmed
2026-01-22,11:50,12:35,Team Coaching,No,team,Regional VP;Account Team;Sales Ops,yes,confirmed
2026-01-22,12:35,13:35,Internal Working Session,No,internal,East Sales Director,yes,confirmed
2026-01-22,13:45,14:45,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-23,13:00,13:45,Conflicting Commitment,No,leadership,Enablement Lead;East Sales Director,yes,tentative
2026-01-23,08:00,09:00,Leadership Sync,No,leadership,CRO,yes,cancelled
2026-01-23,09:30,10:30,Internal Working Session,No,internal,Sales Rep;Regional VP;Sales Ops,yes,confirmed
2026-01-23,10:30,11:30,Learning Block,No,learning,,yes,confirmed
2026-01-23,11:30,12:00,Customer / Account Review,No,customer,Customer;Enablement Lead,yes,confirmed
2026-01-23,12:30,13:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-23,13:30,14:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-23,14:00,14:45,Team Coaching,No,team,Regional VP,yes,declined
2026-01-26,10:25,11:10,Conflicting Commitment,No,team,East Sales Director;Account Team,yes,confirmed
2026-01-26,08:00,08:45,Pipeline Review,No,pipeline,West Sales Director;Revenue Ops;Account Team,yes,confirmed
2026-01-26,08:45,09:15,Learning Block,No,learning,,yes,confirmed
2026-01-26,09:25,09:55,Team Coaching,No,team,Revenue Ops,yes,confirmed
2026-01-26,09:55,10:55,Learning Block,No,learning,,yes,confirmed
2026-01-26,11:05,11:35,Team Coaching,No,team,Revenue Ops;Regional VP,yes,confirmed
2026-01-26,12:05,12:50,Forecast Review,No,forecast,Sales Ops;Revenue Ops,yes,confirmed
2026-01-26,12:50,13:35,Learning Block,No,learning,,yes,confirmed
2026-01-26,13:35,14:20,Pipeline Review,No,pipeline,Account Team;East Sales Director;Sales Rep,yes,confirmed
2026-01-26,14:30,15:30,Customer / Account Review,No,customer,Customer;East Sales Director;Sales Rep,yes,confirmed
2026-01-26,15:30,16:00,Forecast Review,No,forecast,Regional VP,yes,confirmed
2026-01-27,12:55,13:40,Conflicting Commitment,No,customer,CFO;CRO,yes,tentative
2026-01-27,08:00,08:45,Internal Working Session,No,internal,Regional VP;Revenue Ops;West Sales Director,yes,confirmed
2026-01-27,09:00,09:45,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-27,09:45,10:30,Pipeline Review,No,pipeline,Revenue Ops,yes,confirmed
2026-01-27,11:00,12:00,Learning Block,No,learning,,yes,confirmed
2026-01-27,12:10,12:55,Forecast Review,No,forecast,Sales Rep,yes,confirmed
2026-01-27,12:55,13:40,Leadership Sync,No,leadership,Product VP,yes,confirmed
2026-01-27,14:10,15:10,Learning Block,No,learning,,yes,confirmed
2026-01-27,15:10,16:10,Customer / Account Review,No,customer,Customer;East Sales Director,yes,confirmed
2026-01-27,16:20,17:20,Forecast Review,No,forecast,Sales Ops,yes,confirmed
2026-01-28,11:55,12:25,Conflicting Commitment,No,team,Finance;East Sales Director,yes,confirmed
2026-01-28,08:00,09:00,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-28,09:00,09:30,Internal Working Session,No,internal,Product VP;Revenue Ops;Finance,yes,confirmed
2026-01-28,09:30,10:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-28,10:25,11:10,Team Coaching,No,team,Account Team;Enablement Lead,yes,confirmed
2026-01-28,11:40,12:10,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-28,12:40,13:25,Forecast Review,No,forecast,West Sales Director;Revenue Ops;Account Team,yes,confirmed
2026-01-28,13:25,14:10,Internal Working Session,No,internal,East Sales Director,yes,confirmed
2026-01-28,14:40,15:40,Internal Working Session,No,internal,Regional VP;East Sales Director,yes,confirmed
2026-01-29,16:20,17:05,Conflicting Commitment,No,leadership,Account Team;Marketing VP,yes,tentative
2026-01-29,11:25,11:55,Conflicting Commitment,No,customer,Sales Ops;CFO,yes,confirmed
2026-01-29,11:55,12:55,Conflicting Commitment,No,leadership,Revenue Ops;East Sales Director,yes,tentative
2026-01-29,08:00,08:30,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-29,08:30,09:00,Forecast Review,No,forecast,West Sales Director,yes,confirmed
2026-01-29,09:10,10:10,Leadership Sync,No,leadership,Finance;Product VP,yes,confirmed
2026-01-29,10:10,11:10,Learning Block,No,learning,,yes,confirmed
2026-01-29,11:10,11:40,Forecast Review,No,forecast,Account Team;Sales Rep,yes,confirmed
2026-01-29,11:55,12:55,Forecast Review,No,forecast,Account Team,yes,confirmed
2026-01-29,13:25,13:55,Forecast Review,No,forecast,Account Team;West Sales Director,yes,confirmed
2026-01-29,14:25,15:10,Forecast Review,No,forecast,Regional VP,yes,confirmed
2026-01-29,15:25,15:55,Internal Working Session,No,internal,Legal;Sales Ops,yes,confirmed
2026-01-29,16:05,16:35,Internal Working Session,No,internal,Legal;East Sales Director;Account Team,yes,confirmed
2026-01-30,12:25,13:10,Conflicting Commitment,No,customer,Legal;Marketing VP,yes,confirmed
2026-01-30,13:40,14:40,Conflicting Commitment,No,customer,Enablement Lead;Finance,yes,confirmed
2026-01-30,08:30,09:15,Conflicting Commitment,No,leadership,Regional VP;CRO,yes,tentative
2026-01-30,08:00,09:00,Learning Block,No,learning,,yes,confirmed
2026-01-30,09:10,10:10,Leadership Sync,No,leadership,Finance,yes,confirmed
2026-01-30,10:10,10:40,Customer / Account Review,No,customer,Customer;Revenue Ops;Account Team,yes,confirmed
2026-01-30,11:10,11:40,Internal Working Session,No,internal,Sales Rep;East Sales Director,yes,confirmed
2026-01-30,11:55,12:40,Learning Block,No,learning,,yes,confirmed
2026-01-30,13:10,13:55,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-30,13:55,14:25,Leadership Sync,No,leadership,CFO;CRO,yes,confirmed
2026-01-30,14:25,14:55,Pipeline Review,No,pipeline,West Sales Director,yes,confirmed
2026-01-30,14:55,15:40,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-30,15:55,16:40,Forecast Review,No,forecast,West Sales Director,yes,confirmed
